equipo_ganador,equipo_primera_sangre,asesinatos_dif,asistencias_dif,oro_dif,nivel_dif,minions_dif,torretas_dif,dragones_dif,heraldos_dif
1,0,3,3,643,-0.20000000000000018,-2,0,0,0
1,1,0,3,-2908,-0.20000000000000018,-66,-1,-1,-1
1,1,-4,-10,-1172,-0.39999999999999947,-17,0,1,0
1,1,-1,-5,-1321,0.0,-34,0,0,1
1,1,0,-1,-1004,0.0,-15,0,-1,0
0,1,2,4,698,0.0,4,0,1,0
0,0,1,-2,2411,0.39999999999999947,61,0,1,0
1,1,-8,-8,-2615,-0.1999999999999993,52,0,-1,0
1,1,0,3,-1979,0.0,-51,0,-1,-1
0,0,-1,1,-1548,0.0,-27,0,1,0
1,0,0,1,331,-0.6000000000000005,15,0,-1,0
1,0,0,-2,-1505,0.0,-31,0,0,1
0,0,6,10,3274,0.6000000000000005,-2,0,1,0
1,1,-5,-10,-3414,-0.6000000000000005,-19,0,0,1
0,0,0,1,-470,-0.20000000000000018,-18,0,0,0
1,1,-4,-10,-1996,-0.40000000000000036,-28,0,0,0
0,0,8,6,5228,0.7999999999999998,53,0,-1,0
1,1,-4,-3,-1975,0.0,-15,0,0,1
0,0,1,8,882,0.20000000000000018,-15,0,-1,-1
1,1,-4,-4,-3155,-0.40000000000000036,-31,0,0,0
0,0,5,11,2526,0.20000000000000018,-11,0,1,0
1,1,-9,-9,-2835,-0.40000000000000036,-6,0,-1,0
1,1,-2,-7,-1254,0.0,7,0,-1,0
1,1,1,1,406,-0.20000000000000018,18,0,1,1
0,1,-3,-3,-1020,0.20000000000000018,11,0,0,0
1,1,-4,-9,-2472,-0.7999999999999998,-17,0,-1,0
0,1,2,6,1260,0.20000000000000018,-24,0,1,0
1,0,3,7,1857,0.40000000000000036,26,0,-1,0
1,0,2,2,1320,0.0,-6,0,1,0
1,1,-5,-10,-3282,-0.6000000000000005,8,0,1,0
0,0,5,8,2883,0.7999999999999998,1,0,1,0
0,0,3,4,1703,0.39999999999999947,12,0,1,1
1,1,2,3,608,0.0,-3,0,-1,0
1,0,1,0,71,0.0,-21,0,-1,0
0,1,2,-1,275,0.20000000000000018,-19,0,-1,0
1,1,-1,-1,-809,0.0,17,0,-1,-1
